#,Name, Price, Rating, Release, Follows, Reviews, Peak
1,Portal 2,£8.50 ,97.71%,Apr-11,"348,350","430,698","98,460"
2,Stardew Valley,£10.99 ,97.65%,Feb-16,"927,268","875,429","236,614"
3,People Playground,£7.19 ,97.47%,Jul-19,"90,994","279,106","17,015"
4,Vampire Survivors,£3.99 ,97.32%,Oct-22,"126,910","249,192","77,061"
5,Schedule I,£16.75 ,97.20%,Mar-25,"170,522","161,880","459,075"
6,Portal,£8.50 ,97.19%,Oct-07,"145,111","176,146","20,672"
7,Hades,£20.99 ,97.15%,Sep-20,"292,586","278,619","54,240"
8,HoloCure - Save the Fans!,Free,96.98%,Aug-23,"33,634","37,554","46,155"
9,Terraria,£8.50 ,96.82%,May-11,"873,838","1,398,914","489,886"
10,The Henry Stickmin Collection,£4.79 ,96.79%,Aug-20,"50,344","50,121","2,812"
11,Left 4 Dead 2,£8.50 ,96.78%,Nov-09,"1,205,441","955,183","162,399"
12,RimWorld,£28.49 ,96.77%,Oct-18,"589,166","208,174","62,257"
13,Half-Life: Alyx,£49.99 ,96.75%,Mar-20,"248,590","96,772","42,858"
14,Balatro,£12.79 ,96.69%,Feb-24,"86,749","145,722","43,905"
15,Senren＊Banka,£15.84 ,96.68%,Feb-20,"68,471","30,673","3,013"
16,Pizza Tower,£14.99 ,96.67%,Jan-23,"52,305","66,006","9,074"
17,MiSide,£12.79 ,96.63%,Dec-24,"117,252","108,206","23,741"
18,A Short Hike,£5.79 ,96.62%,Jul-19,"19,796","18,745",229
19,Euro Truck Simulator 2,£16.89 ,96.58%,Oct-12,"1,170,140","860,229","69,754"
20,Slime Rancher,£15.99 ,96.58%,Aug-17,"251,767","136,658","17,059"
21,Slay the Spire,£6.79 ,96.55%,Jan-19,"223,279","179,928","33,086"
22,Half-Life 2,£8.50 ,96.46%,Nov-04,"95,159","242,697","64,085"
23,Mount & Blade: Warband,£16.99 ,96.46%,Mar-10,"187,893","166,012","33,054"
24,Resident Evil 4,£16.49 ,96.45%,Mar-23,"258,483","176,833","168,191"
25,ULTRAKILL,£20.99 ,96.45%,Sep-20,"104,819","163,460","28,076"
26,Totally Accurate Battle Simulator,£15.99 ,96.45%,Apr-21,"343,635","134,778","13,674"
27,OneShot,£4.25 ,96.43%,Dec-16,"70,317","51,606",824
28,Cats Hidden in Jingle Jam,Free,96.41%,Dec-23,"2,098","10,159",757
29,VPet-Simulator,Free,96.40%,Aug-23,"49,851","45,883","85,551"
30,Cats Hidden in Paris,Free,96.40%,Jul-23,"3,811","17,223","2,159"
31,Katana ZERO,£12.79 ,96.37%,Apr-19,"96,784","70,665","1,575"
32,BeamNG.drive,£19.20 ,96.36%,May-15,"409,535","316,478","30,649"
33,Helltaker,Free,96.36%,May-20,"95,792","124,530","6,509"
34,WEBFISHING,£4.29 ,96.36%,Oct-24,"32,320","64,840","24,085"
35,The WereCleaner,Free,96.34%,May-24,"4,485","9,754",193
36,The Binding of Isaac: Rebirth,£10.99 ,96.32%,Nov-14,"347,195","339,163","70,701"
37,ENA: Dream BBQ,Free,96.32%,Mar-25,"45,788","19,777","10,988"
38,Counter-Strike,£7.19 ,96.31%,Nov-00,"217,340","249,359","319,586"
39,Lethal Company,£8.50 ,96.30%,Oct-23,"311,416","484,864","240,817"
40,Papa's Freezeria Deluxe,£4.99 ,96.28%,Mar-23,"8,968","11,101","1,227"
41,Bloons TD 6,£11.79 ,96.26%,Dec-18,"89,078","351,749","53,943"
42,Deep Rock Galactic,£24.99 ,96.24%,May-20,"2,691,121","339,711","54,160"
43,Plants vs. Zombies GOTY Edition,£4.25 ,96.24%,May-09,"115,527","138,685","16,225"
44,Sheepy: A Short Adventure,Free,96.22%,Feb-24,"6,627","16,683",358
45,ATRI -My Dear Moments-,£16.26 ,96.15%,Jun-20,"48,117","20,658",772
46,Split Fiction,£39.99 ,96.10%,Mar-25,"151,362","72,975","259,003"
47,Garry's Mod,£4.19 ,96.09%,Nov-06,"773,840","1,152,771","73,863"
48,Dyson Sphere Program,£15.49 ,96.09%,Jan-21,"241,421","84,691","59,815"
49,Entropy : Zero 2,Free,96.09%,Aug-22,"12,491","28,228","3,751"
50,Hollow Knight,£12.79 ,96.08%,Feb-17,"391,262","409,463","20,324"
51,tModLoader,Free,96.06%,May-20,"20,443","308,626","56,583"
52,Celeste,£16.75 ,96.06%,Jan-18,"104,987","118,684","7,782"
53,Dishonored,£7.99 ,96.06%,Oct-12,"92,248","82,101","19,938"
54,Baldur's Gate 3,£49.99 ,96.05%,Aug-23,"930,029","748,839","875,343"
55,A Hat in Time,£24.99 ,96.02%,Oct-17,"93,768","51,534","7,312"
56,Rhythm Doctor,£13.49 ,96.02%,Feb-21,"39,994","21,081","2,892"
57,Subnautica,£25.99 ,95.99%,Jan-18,"613,244","310,885","51,156"
58,Satisfactory,£33.50 ,95.99%,Sep-24,"379,163","229,109","186,158"
59,Black Myth: Wukong,£49.99 ,95.97%,Aug-24,"1,348,004","1,144,602","2,415,714"
60,Stray,£14.39 ,95.97%,Jul-22,"360,019","155,103","62,963"
61,Our Life: Beginnings & Always,Free,95.96%,Nov-20,"23,171","12,313","1,942"
62,Chants of Sennaar,£17.99 ,95.95%,Sep-23,"33,062","21,692","1,584"
63,The Room 4: Old Sins,£6.99 ,95.95%,Feb-21,"13,219","16,112","1,199"
64,TOEM: A Photo Adventure,£16.75 ,95.95%,Sep-21,"11,218","8,226",402
65,Firework,£7.19 ,95.94%,Feb-21,"33,832","41,384","3,746"
66,South Park™: The Stick of Truth™,£25.99 ,95.89%,Mar-14,"119,791","67,945","34,811"
67,Volcano Princess,£6.96 ,95.88%,Apr-23,"64,586","40,538","31,057"
68,The Chronicles Of Myrtana: Archolos,Free,95.87%,Dec-21,"18,650","15,846","9,328"
69,Grimm's Hollow,Free,95.86%,Oct-19,"13,609","13,803",221
70,Dead Cells,£21.99 ,95.83%,Aug-18,"385,021","166,721","14,910"
71,Factorio,£30.00 ,95.82%,Aug-20,"392,062","213,300","118,674"
72,The Wolf Among Us,£11.99 ,95.82%,Oct-13,"45,057","35,448","14,321"
73,Shiina Taki's Decameron,Free,95.75%,Nov-24,"1,552","4,968",475
74,Resident Evil 2,£8.74 ,95.73%,Jan-19,"299,560","170,950","74,227"
75,Touhou Mystia's Izakaya,£4.64 ,95.72%,Oct-21,"47,750","27,789","3,196"
76,Crab Champions,£8.99 ,95.72%,Apr-23,"43,985","26,416","8,564"
77,Hotline Miami,£8.50 ,95.71%,Oct-12,"51,807","105,528","6,878"
78,OMORI,£15.49 ,95.67%,Dec-20,"97,426","79,335","3,166"
79,"Papers, Please",£8.50 ,95.66%,Aug-13,"116,959","73,680","6,129"
80,Undertale,£2.09 ,95.65%,Sep-15,"370,652","266,647","11,071"
81,DAVE THE DIVER,£16.99 ,95.65%,Jun-23,"204,541","127,357","98,480"
82,The Walking Dead,£12.79 ,95.65%,Apr-12,"59,995","72,934","12,114"
83,STAR WARS™ Empire at War - Gold Pack,£16.75 ,95.65%,Feb-06,"71,489","38,895","5,716"
84,Neon White,£9.99 ,95.65%,Jun-22,"33,127","17,448","3,277"
85,Phoenix Wright: Ace Attorney Trilogy,£9.89 ,95.63%,Apr-19,"68,544","36,754","4,724"
86,The Room,£4.29 ,95.63%,Jul-14,"26,090","28,748",679
87,VTOL VR,£22.99 ,95.61%,Aug-17,"33,911","19,157","1,777"
88,Steam Engine Simulator,Free,95.61%,Jun-23,"9,104","8,199","1,140"
89,American Truck Simulator,£16.89 ,95.58%,Feb-16,"452,204","173,603","19,153"
90,BattleBlock Theater®,£10.99 ,95.58%,May-14,"142,946","71,503","14,781"
91,Crime Scene Cleaner,£16.03 ,95.57%,Aug-24,"60,688","20,793","13,577"
92,Paper Lily - Chapter 1,Free,95.57%,Jan-24,"8,909","6,262",402
93,Inscryption,£16.79 ,95.56%,Oct-21,"121,365","130,639","17,072"
94,Pineapple on pizza,Free,95.55%,Mar-23,"4,580","23,948","1,415"
95,Project Kat - Paper Lily Prologue,Free,95.53%,Oct-21,"8,908","5,282",238
96,20 Small Mazes,Free,95.52%,Feb-24,874,"7,298","15,492"
97,魔女的夜宴,£29.50 ,95.48%,Jul-23,"21,186","8,554","1,374"
98,There Is No Game: Wrong Dimension,£10.29 ,95.46%,Aug-20,"27,753","23,276","1,348"
99,Baba Is You,£11.39 ,95.45%,Mar-19,"41,847","21,672","1,533"
100,POSTAL 2,£8.50 ,95.44%,Apr-03,"56,270","114,568","4,636"
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,